author-pid,degree_centrality,eigenvector_centrality,betweeness_centrality,closeness_centrality
76/440,0.05051525560719337,0.0008992446925843324,0.089889763185741,0.3645537917572097
14/3737,0.04384724186704385,0.002726642765419945,0.08904974355203789,0.3756927047749184
51/3710-3,0.041119418064255404,0.00014769162457212002,0.06415042790329657,0.3491850702039088
1444536,0.04081632653061224,0.1435978980097641,0.038478633085315586,0.32161424486612944
m/ChunyanMiao,0.03950292988482521,0.0017976561540152562,0.09894981499756668,0.39269986113866295
33/885,0.03748231966053748,0.00514148736571677,0.06398263866180942,0.3673817830895999
64/4136,0.03728025863810871,0.0022441182008668703,0.08721262107759756,0.37647864288159444
80/7421,0.03556273994746413,0.00012090586016436519,0.061467115489903544,0.3453232390189443
l/BuSungLee,0.03162255001010305,0.00026027402645371287,0.061993946951663534,0.3697146272224712
95/7006,0.029399878763386542,0.0013697566896763858,0.052465406501543105,0.3392863263976965
83/6096,0.02849060416245706,0.003262262597247253,0.05988216356379484,0.36533421917100356
99/4535,0.028288543140028287,6.091282988302597e-05,0.055976469470416776,0.31936243667925013
42/6178-1,0.02727823802788442,0.0013862404174729325,0.0456929431476587,0.34052361784841917
33/3180,0.02606587189331178,0.00022881490290726223,0.043698069817834154,0.3512046269027428
83/3179,0.02566174984845423,0.00010860985474216594,0.03152194866597589,0.3379425722967667
70/1211,0.025459688826025458,0.0007741144437199265,0.04329010529349344,0.3272823463280759
c/ChngEngSiong,0.024348353202667206,0.0001273687533096667,0.03190540197240011,0.34072289156626506
35/1096-1,0.023742170135380884,0.0005077008982220077,0.023565895269932156,0.3483126297638737
78/5155,0.022529804000808243,0.00012785029080394485,0.034754857942048266,0.35199146514935986
42/2718,0.022428773489593858,0.0021145851864192234,0.029552127994017883,0.32731481481481484
34243,0.02162052939987876,0.001313629427576271,0.04048454453830955,0.33810418445772844
h/YingHe1,0.02162052939987876,0.0003572954714256597,0.023965334830541155,0.32551715065609893
84/6889-2,0.021418468377449987,0.00016041066742977634,0.03913295318133671,0.35085604905887774
b/SSBhowmick,0.020004041220448576,6.200672042460897e-05,0.028538551796028887,0.3370679380214541
32/228,0.019903010709234187,0.0001404046085096654,0.02643948947493706,0.3388101595125625
1297587,0.01919579713073348,0.0026598767552057706,0.028088991190499898,0.3323818798482152
36/4118,0.018185492018589614,8.663996359568478e-05,0.008663401100526017,0.3179875991904135
79/8116,0.01798343099616084,0.0014312247695653397,0.020893429984564418,0.32405709795704557
23/1694,0.01768033946251768,7.249767179904014e-05,0.029989677783793453,0.31465174682900465
