author,author-pid,paper,conference,year,title,Faculty,Position,Gender,Management,Area
A. S. Madhukumar,66/549,journals/cssp/MathewSVM20,,2020,An Adaptive Energy Detection Scheme with Real-Time Noise Variance Estimation.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/ijscn/SiriginaMB20,,2020,Analysis of heterogeneous satellite networks with multi-user detectors.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/ijscn/SiriginaMB20a,,2020,Terrestrial Relay-Aided Cooperative High Throughput Satellite Systems.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/taes/RamabadranMW20,,2020,Blind Estimation of Code Parameters for Product Codes Over Noisy Channel Conditions.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tgcn/RaoMS20,,2020,Wireless Energy Harvesting-Based Relaying: A Finite-SNR Diversity-Multiplexing Tradeoff Perspective.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tsp/TanMSK20,,2020,NOMA-Aided UAV Communications over Correlated Rician Shadowed Fading Channels.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/tvlsi/MathewSVM20,,2020,A Power-Efficient Spectrum-Sensing Scheme Using 1-Bit Quantizer and Modified Filter Banks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,journals/vcomm/TanMSK20,,2020,Addressing spectrum efficiency through hybrid-duplex UAV communications: Challenges and opportunities.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/icc/SharmaMS20,ICC Workshops,2020,Performance Analysis of Hybrid FSO/RF System with Transmit Aperture Selection.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/ErnestMSK20,VTC Spring,2020,Capacity Characterization of Uplink NOMA in Multi-UAV Networks.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/SharmaMR20,VTC-Fall,2020,Space Shift Keying-Based Hybrid FSO/RF System.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/SharmaMS20,VTC Spring,2020,Performance of Dual-Hop Hybrid FSO/RF System with Pointing Errors Optimization.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/SwaminathanSM20,VTC Spring,2020,Performance Analysis of HAPS-Based Relaying for Hybrid FSO/RF Downlink Satellite Communication.,A S Madhukumar,Associate Professor,M,N,Computer Networks
A. S. Madhukumar,66/549,conf/vtc/TanMSK20,VTC Spring,2020,Impact of Cellular Interference on Uplink UAV Communications.,A S Madhukumar,Associate Professor,M,N,Computer Networks
