author,author-pid,paper,top_venue_count,co-author-pid,total_weight,weight,closeness_centrality,normalized_degree_centrality,year,conference,title,Faculty,Position,Gender,Management,Area
Qi Liu,95/2446,conf/cw/LiuS04,1,15/3108,83,7,0.263553094,0.000879974,2004,,,,,,,
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,16/9762,29,1,0.277449194,0.000307461,2013,,,,,,,
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,63/2587,29,1,0.277449194,0.000307461,2013,,,,,,,
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,99/4535,29,1,0.277449194,0.000307461,2013,,,,,,,
Beng Chin Ooi,o/BengChinOoi,journals/corr/abs-1910-00985,1,24/1541,26,1,0.272379537,0.000275654,2019,,,,,,,
Beng Chin Ooi,o/BengChinOoi,journals/corr/abs-1910-00985,1,d/AnwitamanDatta,26,1,0.272379537,0.000275654,2019,,,,,,,
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,78/5155,109,29,0.301299808,0.001155628,2013,,,,,,,
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,98/392,109,3,0.301299808,0.001155628,2013,,,,,,,
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,51/6972,109,3,0.301299808,0.001155628,2013,,,,,,,
Chenliang Li,52/9457,conf/sigir/LiDS11,7,d/AnwitamanDatta,109,6,0.301299808,0.001155628,2011,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/socinfo/2011,3,88/6972,474,2,0.312812085,0.005025392,2011,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/socinfo/2011,3,93/4303,474,1,0.312812085,0.005025392,2011,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/socinfo/2011,3,60/7120,474,1,0.312812085,0.005025392,2011,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/isi/LeDLD08,3,d/AnwitamanDatta,474,10,0.312812085,0.005025392,2008,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/isi/LeDLD08,3,90/5072,474,1,0.312812085,0.005025392,2008,,,,,,,
Chenliang Li,52/9457,conf/sigir/LiWHYDSL12,7,72/5398,109,1,0.301299808,0.001155628,2012,,,,,,,
Chenliang Li,52/9457,conf/sigir/LiWHYDSL12,7,l/BuSungLee,109,1,0.301299808,0.001155628,2012,,,,,,,
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,52/9457,52,3,0.31401288,0.000551309,2013,,,,,,,
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,51/6972,52,3,0.31401288,0.000551309,2013,,,,,,,
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,78/5155,52,3,0.31401288,0.000551309,2013,,,,,,,
Jianshu Weng,98/392,conf/sigir/LiWHYDSL12,2,72/5398,52,1,0.31401288,0.000551309,2012,,,,,,,
Jianshu Weng,98/392,conf/sigir/LiWHYDSL12,2,d/AnwitamanDatta,52,1,0.31401288,0.000551309,2012,,,,,,,
Jianshu Weng,98/392,conf/icwsm/WengL11,2,l/BuSungLee,52,2,0.31401288,0.000551309,2011,,,,,,,
Qi He,51/6972,conf/sigir/LiSWH13,2,52/9457,12,3,0.290485414,0.000127225,2013,,,,,,,
Qi He,51/6972,conf/sigir/LiSWH13,2,98/392,12,3,0.290485414,0.000127225,2013,,,,,,,
Qi He,51/6972,conf/sigir/LiSWH13,2,78/5155,12,3,0.290485414,0.000127225,2013,,,,,,,
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,72/5398,12,1,0.290485414,0.000127225,2012,,,,,,,
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,d/AnwitamanDatta,12,1,0.290485414,0.000127225,2012,,,,,,,
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,l/BuSungLee,12,1,0.290485414,0.000127225,2012,,,,,,,
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,52/9457,28,1,0.299603475,0.000296859,2012,,,,,,,
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,98/392,28,1,0.299603475,0.000296859,2012,,,,,,,
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,51/6972,28,1,0.299603475,0.000296859,2012,,,,,,,
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,d/AnwitamanDatta,28,1,0.299603475,0.000296859,2012,,,,,,,
Yuxia Yao,72/5398,journals/tkde/YaoTLS06,1,78/5155,28,2,0.299603475,0.000296859,2006,,,,,,,
Yuxia Yao,72/5398,conf/icsoft/GioachinLYL11,1,l/BuSungLee,28,3,0.299603475,0.000296859,2011,,,,,,,
Yuxia Yao,72/5398,conf/icsoft/GioachinLYL11,1,86/2979,28,2,0.299603475,0.000296859,2011,,,,,,,
Yuxia Yao,72/5398,conf/icsoft/GioachinLYL11,1,a/QianhuiAltheaLiang,28,2,0.299603475,0.000296859,2011,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/icadl/MaureenSLDC08,3,34/6669,474,6,0.312812085,0.005025392,2008,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/icadl/MaureenSLDC08,3,54/5816,474,3,0.312812085,0.005025392,2008,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/icdm/SunL01,3,78/5155,474,56,0.312812085,0.005025392,2001,,,,,,,
Kuiyu Chang,34/6669,conf/icadl/MaureenSLDC08,2,l/EePengLim,74,6,0.321269759,0.000784555,2008,,,,,,,
Kuiyu Chang,34/6669,conf/icadl/MaureenSLDC08,2,78/5155,74,6,0.321269759,0.000784555,2008,,,,,,,
Kuiyu Chang,34/6669,conf/icadl/MaureenSLDC08,2,d/AnwitamanDatta,74,6,0.321269759,0.000784555,2008,,,,,,,
Kuiyu Chang,34/6669,conf/icadl/MaureenSLDC08,2,54/5816,74,3,0.321269759,0.000784555,2008,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/icadl/LimKISDCM10,3,63/82,474,1,0.312812085,0.005025392,2010,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/ACMicec/LimMISDC09,3,2306082,474,2,0.312812085,0.005025392,2009,,,,,,,
Kuiyu Chang,34/6669,conf/icadl/LimKISDCM10,2,63/82,74,1,0.321269759,0.000784555,2010,,,,,,,
Kuiyu Chang,34/6669,conf/ACMicec/LimMISDC09,2,2306082,74,2,0.321269759,0.000784555,2009,,,,,,,
Kuiyu Chang,34/6669,conf/jcdl/ZhangSDCL10,2,64/6544,74,1,0.321269759,0.000784555,2010,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/jcdl/ZhangSDCL10,3,64/6544,474,1,0.312812085,0.005025392,2010,,,,,,,
Steven C. H. Hoi,h/StevenCHHoi,conf/pkdd/AngGHN08,7,57/704,214,8,0.336049433,0.002268848,2008,,,,,,,
