author,author-pid,year,Position,Gender,Management,Area,top_venue_count,co-author-pid,weight,paper-list,Faculty-co-author,Position-co-author,Gender-co-author,Management-co-author,Area-co-author
Sourav Sen Gupta,41/8030,2019.0,Lecturer,M,N,Cyber Security,0.0,99/4535,5.0,"['journals/mam/RaviNBKGC19', 'conf/cardis/RaviGCB19', 'conf/ijcnn/ChattopadhyayCG19', 'journals/iacr/RaviGCKNB19', 'journals/iacr/RaviGCB19']",Anupam Chattopadhyay,Associate Professor,M,N,Computer Architecture
Owen Noel Newton Fernando,84/2408,2019.0,Senior Lecturer,M,N,HCI,0.0,99/4535,2.0,"['conf/cw/KannappanFCTHSL19', 'conf/vrcai/FernandoKTHCS19']",Anupam Chattopadhyay,Associate Professor,M,N,Computer Architecture
Hock Soon Seah,s/SeahHockSoon,2019.0,Professor,M,Y,Computer Graphics,0.0,99/4535,2.0,"['conf/cw/KannappanFCTHSL19', 'conf/vrcai/FernandoKTHCS19']",Anupam Chattopadhyay,Associate Professor,M,N,Computer Architecture
Anupam Chattopadhyay,99/4535,2019.0,Associate Professor,M,N,Computer Architecture,0.0,41/8030,5.0,"['journals/mam/RaviNBKGC19', 'conf/cardis/RaviGCB19', 'conf/ijcnn/ChattopadhyayCG19', 'journals/iacr/RaviGCKNB19', 'journals/iacr/RaviGCB19']",Sourav Sen Gupta,Lecturer,M,N,Cyber Security
Owen Noel Newton Fernando,84/2408,2019.0,Senior Lecturer,M,N,HCI,0.0,s/SeahHockSoon,2.0,"['conf/cw/KannappanFCTHSL19', 'conf/vrcai/FernandoKTHCS19']",Seah Hock Soon,Professor,M,Y,Computer Graphics
Anupam Chattopadhyay,99/4535,2019.0,Associate Professor,M,N,Computer Architecture,0.0,s/SeahHockSoon,2.0,"['conf/cw/KannappanFCTHSL19', 'conf/vrcai/FernandoKTHCS19']",Seah Hock Soon,Professor,M,Y,Computer Graphics
Feng Lin 0002,75/2611-2,2019.0,Associate Professor,M,N,Bioinformatics,0.0,s/SeahHockSoon,3.0,"['journals/vc/WangZLGS19', 'conf/apvis/WangZ0S19', 'journals/corr/abs-1904-02348']",Seah Hock Soon,Professor,M,Y,Computer Graphics
Jianmin Zheng,09/5452,2019.0,Associate Professor,M,N,Computer Graphics,0.0,s/SeahHockSoon,1.0,['journals/cg/WangZS19'],Seah Hock Soon,Professor,M,Y,Computer Graphics
Anupam Chattopadhyay,99/4535,2019.0,Associate Professor,M,N,Computer Architecture,0.0,84/2408,2.0,"['conf/cw/KannappanFCTHSL19', 'conf/vrcai/FernandoKTHCS19']",Owen Noel Newton Fernando,Senior Lecturer,M,N,HCI
Hock Soon Seah,s/SeahHockSoon,2019.0,Professor,M,Y,Computer Graphics,0.0,84/2408,2.0,"['conf/cw/KannappanFCTHSL19', 'conf/vrcai/FernandoKTHCS19']",Owen Noel Newton Fernando,Senior Lecturer,M,N,HCI
Arvind Easwaran,73/1708,2019.0,Associate Professor,M,N,Computer Architecture,0.0,00/5179,3.0,"['journals/sigbed/SamaddarET19', 'conf/rtcsa/JhaveriTER19', 'journals/corr/abs-1910-12000']",Tan Rui,Assistant Professor,M,N,Computer Architecture
Jun Zhao 0007,47/2026-7,2019.0,Assistant Professor,M,N,Computer Networks,0.0,00/5179,1.0,['journals/corr/abs-1906-10893'],Tan Rui,Assistant Professor,M,N,Computer Architecture
Dusit Niyato,76/440,2019.0,Professor,M,N,Computer Networks,0.0,00/5179,1.0,['journals/corr/abs-1906-10893'],Tan Rui,Assistant Professor,M,N,Computer Architecture
