author,author-pid,paper,top_venue_count,co-author-pid,total_weight,weight,closeness_centrality,normalized_degree_centrality,year
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,16/9762,29,1,0.2774491941135248,0.0003408917257349743,2013.0
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,63/2587,29,1,0.2774491941135248,0.0003408917257349743,2013.0
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,99/4535,29,1,0.2774491941135248,0.0003408917257349743,2013.0
Beng Chin Ooi,o/BengChinOoi,journals/corr/abs-1910-00985,1,24/1541,19,1,0.2723795371364099,0.0002233428547918797,2019.0
Beng Chin Ooi,o/BengChinOoi,journals/corr/abs-1910-00985,1,d/AnwitamanDatta,19,1,0.2723795371364099,0.0002233428547918797,2019.0
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,78/5155,109,29,0.301299808225016,0.001281282693279731,2013.0
Chenliang Li,52/9457,conf/sigir/LiDS11,7,d/AnwitamanDatta,109,6,0.301299808225016,0.001281282693279731,2011.0
Ee-Peng Lim,l/EePengLim,conf/socinfo/2011,1,88/6972,78,2,0.3128120852032109,0.0009168811933561378,2011.0
Ee-Peng Lim,l/EePengLim,books/sp/10/LimSDC10,1,d/AnwitamanDatta,78,6,0.3128120852032109,0.0009168811933561378,2010.0
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,98/392,109,3,0.301299808225016,0.001281282693279731,2013.0
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,51/6972,109,3,0.301299808225016,0.001281282693279731,2013.0
Chenliang Li,52/9457,conf/sigir/LiWHYDSL12,7,72/5398,109,1,0.301299808225016,0.001281282693279731,2012.0
Chenliang Li,52/9457,conf/sigir/LiWHYDSL12,7,l/BuSungLee,109,1,0.301299808225016,0.001281282693279731,2012.0
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,52/9457,31,3,0.3140128803020209,0.00036440149992359323,2013.0
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,51/6972,31,3,0.3140128803020209,0.00036440149992359323,2013.0
Jianshu Weng,98/392,conf/sigir/LiWHYDSL12,2,72/5398,31,1,0.3140128803020209,0.00036440149992359323,2012.0
Jianshu Weng,98/392,conf/sigir/LiWHYDSL12,2,d/AnwitamanDatta,31,1,0.3140128803020209,0.00036440149992359323,2012.0
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,78/5155,31,3,0.3140128803020209,0.00036440149992359323,2013.0
Jianshu Weng,98/392,conf/icwsm/WengL11,2,l/BuSungLee,31,2,0.3140128803020209,0.00036440149992359323,2011.0
Qi He,51/6972,conf/sigir/LiSWH13,2,52/9457,12,3,0.2904854140987263,0.00014105864513171352,2013.0
Qi He,51/6972,conf/sigir/LiSWH13,2,98/392,12,3,0.2904854140987263,0.00014105864513171352,2013.0
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,72/5398,12,1,0.2904854140987263,0.00014105864513171352,2012.0
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,d/AnwitamanDatta,12,1,0.2904854140987263,0.00014105864513171352,2012.0
Qi He,51/6972,conf/sigir/LiSWH13,2,78/5155,12,3,0.2904854140987263,0.00014105864513171352,2013.0
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,l/BuSungLee,12,1,0.2904854140987263,0.00014105864513171352,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,52/9457,12,1,0.299603474891788,0.00014105864513171352,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,98/392,12,1,0.299603474891788,0.00014105864513171352,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,51/6972,12,1,0.299603474891788,0.00014105864513171352,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,d/AnwitamanDatta,12,1,0.299603474891788,0.00014105864513171352,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,78/5155,12,1,0.299603474891788,0.00014105864513171352,2012.0
Yuxia Yao,72/5398,conf/icsoft/GioachinLYL11,1,l/BuSungLee,12,3,0.299603474891788,0.00014105864513171352,2011.0
Ee-Peng Lim,l/EePengLim,books/sp/10/LimSDC10,1,34/6669,78,4,0.3128120852032109,0.0009168811933561378,2010.0
Ee-Peng Lim,l/EePengLim,conf/sdm/NguyenLTJS10,1,78/5155,78,11,0.3128120852032109,0.0009168811933561378,2010.0
