author,author-pid,top_venue_count,total_weight,closeness_centrality,normalized_degree_centrality
Tat-Seng Chua,24/6606,20,297,0.34032457708705816,0.03026288974933768
Xiaoou Tang,1214889,14,278,0.24535832031927815,0.02832687996739352
Dahua Lin,53/6088,11,273,0.27375058771468874,0.02781740370898716
Chunhua Shen,56/1673,10,194,0.2904854140987263,0.0197676788261667
Yi Tay,188/6350,9,209,0.31263423878711305,0.021296107601385776
Byron Choi,07/1560,8,151,0.29878048780487804,0.01538618300387202
James Cheng,829619,8,111,0.2838380362468456,0.011310372936621153
Chi-Wing Fu,38/803,8,98,0.29559504255636854,0.009985734664764621
Yiqun Hu,44/3470,8,78,0.29578937931446675,0.00794782963113919
Zheng-Jun Zha,23/1818,8,77,0.27731704583660205,0.007845934379457917
Steven C. H. Hoi,h/StevenCHHoi,7,214,0.3360494330141916,0.021805583859792133
Xiaokui Xiao,33/1903,7,175,0.3260318192298824,0.01783166904422254
Chenliang Li,52/9457,7,109,0.301299808225016,0.01110658243325861
Raymond Chi-Wing Wong,w/RaymondChiWingWong,7,91,0.28254167618177667,0.009272467902995721
Yang Yang 0002,48/450-2,7,90,0.27807276302851525,0.009170572651314449
Shih-Fu Chang,c/ShihFuChang,6,76,0.2770298636961572,0.0077440391277766455
Shuigeng Zhou,52/6744,6,72,0.2739627446095934,0.007336458121051559
Huan-Bo Luan,55/5812,6,57,0.28973713482817165,0.005808029345832484
Wei Liu 0005,49/3283-5,6,53,0.26588943211733734,0.005400448339107398
Mohan S. Kankanhalli,625906,6,32,0.3039552880481513,0.0032606480538006927
Lei Ma 0003,20/6534-3,5,387,0.29994848328737234,0.03943346240065213
Xiaofei Xie,127/0713,5,379,0.3120330380505028,0.03861830038720196
Felix Juefei-Xu,35/11103,5,232,0.30667699457784664,0.023639698390055024
Ziwei Liu 0002,05/6300-2,5,212,0.2893475210477081,0.021601793356429592
Ping Luo 0002,54/4989-2,5,210,0.2671813421152081,0.021398002853067047
Juyong Zhang,38/5125,5,151,0.30857962339443823,0.01538618300387202
Kai Chen,181/2839,5,140,0.2668212206167781,0.014265335235378032
Qing Guo 0005,25/3038-5,5,131,0.28944905836939994,0.013348277970246587
Meng Wang 0001,93/6765-1,5,119,0.3114341451135863,0.012125534950071327
Ian Reid 0001,r/IanDReid1,5,115,0.2467406207154431,0.01171795394334624
Xiangnan He 0001,59/1007,5,97,0.2690551266717408,0.00988383941308335
Xiaohang Zhan,211/7010,5,76,0.28048400351384284,0.0077440391277766455
Huey-Eng Chua,94/11104,5,72,0.265418856591226,0.007336458121051559
Shuicheng Yan,y/ShuichengYan,5,66,0.3215620025340307,0.006725086610963929
Richang Hong,59/1501,5,60,0.2855247216292621,0.006113715100876299
Lisi Chen,37/10606,5,57,0.27324425795053003,0.005808029345832484
Dayong Wang,2029014,5,46,0.29462717666319393,0.004687181577338496
Kaihua Tang,196/7269,5,45,0.3041327392840682,0.004585286325657224
Tao Guo,43/56,5,37,0.26763648162669335,0.003770124312207051
Anthony K. H. Tung,t/AnthonyKHTung,5,31,0.28278384092337583,0.003158752802119421
Shaojing Fan,78/4086,5,28,0.2662542030934768,0.0028530670470756064
Yong Luo 0002,57/5272-2,4,161,0.304563217329764,0.016405135520684736
Shuo Yang 0003,78/1102-3,4,143,0.2671236573649269,0.014571020990421846
Ling-Yu Duan,d/LingyuDuan,4,104,0.32601034221534203,0.010597106174852253
Fayao Liu,91/9687,4,95,0.28916155419222905,0.009680048909720807
Cheng Li 0009,16/6465-9,4,86,0.24344532441339958,0.008762991644589362
Xiaogang Wang 0001,91/6236-1,4,84,0.25061400177237625,0.008559201141226819
Jiuxiang Gu,173/4935,4,79,0.27548776754154025,0.00804972488282046
Jianqiang Huang,207/1901,4,72,0.3098838483453868,0.007336458121051559
Chi Zhang,91/195,4,69,0.2996125438915123,0.007030772366007744
Xin Cao 0001,77/2970-1,4,68,0.2712523979172376,0.006928877114326473
Shaogang Gong,17/4389,4,68,0.26277643560676456,0.006928877114326473
Quan Yuan 0001,29/5782-1,4,66,0.29563918757467145,0.006725086610963929
Anton van den Hengel,v/AntonvandenHengel,4,66,0.2465746599571521,0.006725086610963929
