author,author-pid,paper,top_venue_count,co-author-pid,total_weight,weight,closeness_centrality,normalized_degree_centrality,year
Qi Liu,95/2446,conf/cw/LiuS04,1,15/3108,83,7,0.2635530940462243,0.0008799737068097243,2004.0
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,16/9762,29,1,0.27744919411352487,0.00030746069274074705,2013.0
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,63/2587,29,1,0.27744919411352487,0.00030746069274074705,2013.0
Zheng Wang,181/2834,conf/iceac/WangWXC13,1,99/4535,29,1,0.27744919411352487,0.00030746069274074705,2013.0
Beng Chin Ooi,o/BengChinOoi,journals/corr/abs-1910-00985,1,24/1541,26,1,0.27237953713640994,0.0002756544141813594,2019.0
Beng Chin Ooi,o/BengChinOoi,journals/corr/abs-1910-00985,1,d/AnwitamanDatta,26,1,0.27237953713640994,0.0002756544141813594,2019.0
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,78/5155,109,29,0.301299808225016,0.0011556281209910836,2013.0
Chenliang Li,52/9457,conf/sigir/LiDS11,7,d/AnwitamanDatta,109,6,0.301299808225016,0.0011556281209910836,2011.0
Ee-Peng Lim,l/EePengLim,conf/socinfo/2011,3,88/6972,474,2,0.3128120852032109,0.005025392012383245,2011.0
Ee-Peng Lim,l/EePengLim,conf/isi/LeDLD08,3,d/AnwitamanDatta,474,10,0.3128120852032109,0.005025392012383245,2008.0
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,98/392,109,3,0.301299808225016,0.0011556281209910836,2013.0
Chenliang Li,52/9457,conf/sigir/LiSWH13,7,51/6972,109,3,0.301299808225016,0.0011556281209910836,2013.0
Chenliang Li,52/9457,conf/sigir/LiWHYDSL12,7,72/5398,109,1,0.301299808225016,0.0011556281209910836,2012.0
Chenliang Li,52/9457,conf/sigir/LiWHYDSL12,7,l/BuSungLee,109,1,0.301299808225016,0.0011556281209910836,2012.0
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,52/9457,52,3,0.3140128803020209,0.0005513088283627188,2013.0
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,51/6972,52,3,0.3140128803020209,0.0005513088283627188,2013.0
Jianshu Weng,98/392,conf/sigir/LiWHYDSL12,2,72/5398,52,1,0.3140128803020209,0.0005513088283627188,2012.0
Jianshu Weng,98/392,conf/sigir/LiWHYDSL12,2,d/AnwitamanDatta,52,1,0.3140128803020209,0.0005513088283627188,2012.0
Jianshu Weng,98/392,conf/sigir/LiSWH13,2,78/5155,52,3,0.3140128803020209,0.0005513088283627188,2013.0
Jianshu Weng,98/392,conf/icwsm/WengL11,2,l/BuSungLee,52,2,0.3140128803020209,0.0005513088283627188,2011.0
Qi He,51/6972,conf/sigir/LiSWH13,2,52/9457,12,3,0.2904854140987263,0.00012722511423755048,2013.0
Qi He,51/6972,conf/sigir/LiSWH13,2,98/392,12,3,0.2904854140987263,0.00012722511423755048,2013.0
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,72/5398,12,1,0.2904854140987263,0.00012722511423755048,2012.0
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,d/AnwitamanDatta,12,1,0.2904854140987263,0.00012722511423755048,2012.0
Qi He,51/6972,conf/sigir/LiSWH13,2,78/5155,12,3,0.2904854140987263,0.00012722511423755048,2013.0
Qi He,51/6972,conf/sigir/LiWHYDSL12,2,l/BuSungLee,12,1,0.2904854140987263,0.00012722511423755048,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,52/9457,28,1,0.299603474891788,0.0002968585998876178,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,98/392,28,1,0.299603474891788,0.0002968585998876178,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,51/6972,28,1,0.299603474891788,0.0002968585998876178,2012.0
Yuxia Yao,72/5398,conf/sigir/LiWHYDSL12,1,d/AnwitamanDatta,28,1,0.299603474891788,0.0002968585998876178,2012.0
Yuxia Yao,72/5398,journals/tkde/YaoTLS06,1,78/5155,28,2,0.299603474891788,0.0002968585998876178,2006.0
Yuxia Yao,72/5398,conf/icsoft/GioachinLYL11,1,l/BuSungLee,28,3,0.299603474891788,0.0002968585998876178,2011.0
Ee-Peng Lim,l/EePengLim,conf/icadl/MaureenSLDC08,3,34/6669,474,6,0.3128120852032109,0.005025392012383245,2008.0
Ee-Peng Lim,l/EePengLim,conf/icdm/SunL01,3,78/5155,474,56,0.3128120852032109,0.005025392012383245,2001.0
Kuiyu Chang,34/6669,conf/icadl/MaureenSLDC08,2,l/EePengLim,74,6,0.32126975883670356,0.0007845548711315613,2008.0
Kuiyu Chang,34/6669,conf/icadl/MaureenSLDC08,2,78/5155,74,6,0.32126975883670356,0.0007845548711315613,2008.0
Kuiyu Chang,34/6669,conf/icadl/MaureenSLDC08,2,d/AnwitamanDatta,74,6,0.32126975883670356,0.0007845548711315613,2008.0
Ee-Peng Lim,l/EePengLim,conf/socinfo/2011,3,93/4303,474,1,0.3128120852032109,0.005025392012383245,2011.0
Ee-Peng Lim,l/EePengLim,conf/socinfo/2011,3,60/7120,474,1,0.3128120852032109,0.005025392012383245,2011.0
Ee-Peng Lim,l/EePengLim,conf/icadl/LimKISDCM10,3,63/82,474,1,0.3128120852032109,0.005025392012383245,2010.0
Ee-Peng Lim,l/EePengLim,conf/ACMicec/LimMISDC09,3,2306082,474,2,0.3128120852032109,0.005025392012383245,2009.0
Ee-Peng Lim,l/EePengLim,conf/icadl/MaureenSLDC08,3,54/5816,474,3,0.3128120852032109,0.005025392012383245,2008.0
Kuiyu Chang,34/6669,conf/icadl/LimKISDCM10,2,63/82,74,1,0.32126975883670356,0.0007845548711315613,2010.0
Kuiyu Chang,34/6669,conf/ACMicec/LimMISDC09,2,2306082,74,2,0.32126975883670356,0.0007845548711315613,2009.0
Kuiyu Chang,34/6669,conf/icadl/MaureenSLDC08,2,54/5816,74,3,0.32126975883670356,0.0007845548711315613,2008.0
Kuiyu Chang,34/6669,conf/jcdl/ZhangSDCL10,2,64/6544,74,1,0.32126975883670356,0.0007845548711315613,2010.0
Ee-Peng Lim,l/EePengLim,conf/jcdl/ZhangSDCL10,3,64/6544,474,1,0.3128120852032109,0.005025392012383245,2010.0
Steven C. H. Hoi,h/StevenCHHoi,conf/pkdd/AngGHN08,7,57/704,214,8,0.3360494330141916,0.0022688478705696503,2008.0
Steven C. H. Hoi,h/StevenCHHoi,conf/pkdd/AngGHN08,7,72/3859,214,8,0.3360494330141916,0.0022688478705696503,2008.0
Steven C. H. Hoi,h/StevenCHHoi,conf/dbisp2p/AngGHND08,7,d/AnwitamanDatta,214,2,0.3360494330141916,0.0022688478705696503,2008.0
Steven C. H. Hoi,h/StevenCHHoi,conf/pkdd/AngGHN08,7,n/WeeKeongNg,214,8,0.3360494330141916,0.0022688478705696503,2008.0
Ee-Peng Lim,l/EePengLim,conf/cikm/LiuDRL09,3,76/1820-27,474,1,0.3128120852032109,0.005025392012383245,2009.0
Ee-Peng Lim,l/EePengLim,conf/cikm/LiuDRL09,3,11/1187,474,1,0.3128120852032109,0.005025392012383245,2009.0
Ee-Peng Lim,l/EePengLim,conf/wsdm/VuongLSLL08,3,98/4759,474,3,0.3128120852032109,0.005025392012383245,2008.0
Ee-Peng Lim,l/EePengLim,conf/isi/LeDLD08,3,90/5072,474,1,0.3128120852032109,0.005025392012383245,2008.0
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,43/56,5,1,0.26152667318413614,5.301046426564604e-05,2020.0
